г. Санкт-Петербург, ул. Купчинская, д. 5, к. 2, лит. А	1974
г. Санкт-Петербург, ул. Малая Балканская, д. 52, лит. А	1981
г. Санкт-Петербург, ул. Малая Балканская, д. 58, лит. А	1984
г. Санкт-Петербург, ул. Малая Бухарестская, д. 9, лит. А	1980
г. Санкт-Петербург, ул. Малая Бухарестская, д. 11/60, лит. А	1981
г. Санкт-Петербург, ул. Малая Карпатская, д. 9, к. 1, лит. А	1983
г. Санкт-Петербург, ул. Малая Карпатская, д. 15, лит. А	1983
г. Санкт-Петербург, ул. Малая Карпатская, д. 21, лит. А	1983
г. Санкт-Петербург, ул. Малая Карпатская, д. 23, к. 1, лит. А	1984
г. Санкт-Петербург, пер. Моравский, д. 7, к. 1, лит. А	1983
г. Санкт-Петербург, ул. Олеко Дундича, д. 35, к. 1, лит. А	1983
г. Санкт-Петербург, ул. Олеко Дундича, д. 35, к. 3, лит. А	1983
г. Санкт-Петербург, ул. Олеко Дундича, д. 36, к. 3, лит. А	1983
г. Санкт-Петербург, ул. Пражская, д. 3, лит. А	1984
г. Санкт-Петербург, ул. Пражская, д. 7, к. 1, лит. А	1968
г. Санкт-Петербург, ул. Пражская, д. 7, к. 2, лит. А	1968
г. Санкт-Петербург, ул. Пражская, д. 7, к. 3, лит. А	1968
г. Санкт-Петербург, ул. Пражская, д. 9, к. 1, лит. А	1991
г. Санкт-Петербург, ул. Пражская, д. 9, к. 2, лит. А	1968
г. Санкт-Петербург, ул. Пражская, д. 13, лит. А	1968
г. Санкт-Петербург, ул. Пражская, д. 15, лит. А	1968
г. Санкт-Петербург, ул. Пражская, д. 16, лит. А	1968
г. Санкт-Петербург, ул. Пражская, д. 17, к. 1, лит. А	1967
г. Санкт-Петербург, ул. Пражская, д. 20, лит. А	1969
г. Санкт-Петербург, ул. Пражская, д. 22, лит. А	1965
г. Санкт-Петербург, ул. Пражская, д. 37, к. 2, лит. А	1966
г. Санкт-Петербург, пр-кт. Славы, д. 18, лит. А	1965
г. Санкт-Петербург, пр-кт. Славы, д. 20, лит. А	1965
г. Санкт-Петербург, пр-кт. Славы, д. 22, лит. А	1965
